L,comp_time,comm_time,save_time,total_time
16,2.436604,8.982206,30.045723,41.464533
32,9.287677,11.926145,31.555235,52.769057
64,36.511894,19.962835,10.209232,66.683961
128,146.713837,52.449198,18.751186,217.914221
16,2.416962,8.425082,28.588051,39.430095
32,9.227623,11.985803,29.703201,50.916626
64,36.465652,20.271555,10.141590,66.878796
128,145.855147,51.859650,18.575297,216.290094
16,2.426786,8.450688,27.215983,38.093456
32,9.305559,11.995344,30.228130,51.529032
64,36.524508,22.633115,9.789539,68.947162
128,146.837821,62.486554,18.632064,227.956440
16,2.442380,8.861059,28.904779,40.208217
32,9.240117,11.823340,30.582425,51.645883
64,36.565130,20.111569,10.394269,67.070969
128,145.776023,52.832485,18.472679,217.081187
16,2.391579,8.615729,29.932448,40.939756
32,9.220454,11.447292,27.416658,48.084405
64,36.145031,19.619306,10.456818,66.221154
128,146.857319,54.620742,18.347556,219.825617
