L,beta,<M>,<M2>,errore su <M>
60,0.100000,0.016000,0.000391,0.001164
60,0.200000,0.019844,0.000640,0.001568
60,0.300000,0.036928,0.002320,0.003093
60,0.350000,0.049894,0.003866,0.003711
60,0.400000,0.113089,0.018716,0.007699
60,0.420000,0.171472,0.046067,0.012909
60,0.430000,0.325000,0.138767,0.018205
60,0.440000,0.593467,0.377515,0.015910
60,0.450000,0.749156,0.567950,0.008195
60,0.460000,0.816228,0.667537,0.003618
60,0.480000,0.878422,0.772030,0.002012
60,0.500000,0.912678,0.833175,0.001392
60,0.550000,0.954339,0.910810,0.000686
60,0.600000,0.973756,0.948225,0.000500
60,0.700000,0.990839,0.981769,0.000261
60,0.800000,0.996028,0.992074,0.000165
120,0.100000,0.008515,0.000120,0.000690
120,0.200000,0.012536,0.000239,0.000904
120,0.300000,0.017561,0.000508,0.001412
120,0.350000,0.027282,0.001210,0.002158
120,0.400000,0.055600,0.005068,0.004446
120,0.420000,0.094964,0.013283,0.006530
120,0.430000,0.164463,0.039672,0.011236
120,0.440000,0.563182,0.337525,0.014266
120,0.450000,0.754190,0.569756,0.003087
120,0.460000,0.813276,0.661788,0.001923
120,0.480000,0.878850,0.772497,0.001092
120,0.500000,0.911467,0.830823,0.000715
120,0.550000,0.953782,0.909716,0.000395
120,0.600000,0.973765,0.948226,0.000267
120,0.700000,0.990146,0.980391,0.000136
120,0.800000,0.995932,0.991881,0.000081
240,0.100000,0.003873,0.000025,0.000309
240,0.200000,0.006171,0.000058,0.000450
240,0.300000,0.010147,0.000160,0.000755
240,0.350000,0.013125,0.000258,0.000927
240,0.400000,0.026355,0.001132,0.002091
240,0.420000,0.052198,0.004243,0.003897
240,0.430000,0.096671,0.013069,0.006102
240,0.440000,0.505660,0.265860,0.010084
240,0.450000,0.750739,0.563898,0.001699
240,0.460000,0.813920,0.662579,0.001063
240,0.480000,0.876935,0.769041,0.000514
240,0.500000,0.910914,0.829778,0.000359
240,0.550000,0.954396,0.910876,0.000217
240,0.600000,0.973752,0.948195,0.000122
240,0.700000,0.990273,0.980642,0.000064
240,0.800000,0.996095,0.992206,0.000039
