L,beta,<M>,<M2>,errore su <M>
16,0.100000,0.066094,0.006554,0.004675
16,0.200000,0.085234,0.012315,0.007106
16,0.300000,0.138125,0.030060,0.010479
16,0.350000,0.191797,0.060981,0.015555
16,0.400000,0.390781,0.205637,0.023006
16,0.420000,0.508750,0.311819,0.023020
16,0.430000,0.609063,0.421790,0.022546
16,0.440000,0.720547,0.546970,0.016668
16,0.450000,0.748672,0.593257,0.018096
16,0.460000,0.805781,0.661465,0.011037
16,0.480000,0.889375,0.794845,0.006211
16,0.500000,0.911016,0.832177,0.004720
16,0.550000,0.950391,0.904540,0.003603
16,0.600000,0.974297,0.949665,0.002026
16,0.700000,0.988984,0.978193,0.001013
16,0.800000,0.995781,0.991625,0.000667
32,0.100000,0.033438,0.001657,0.002322
32,0.200000,0.035313,0.001943,0.002639
32,0.300000,0.069531,0.007687,0.005341
32,0.350000,0.098809,0.015298,0.007440
32,0.400000,0.218613,0.070140,0.014949
32,0.420000,0.365898,0.173273,0.019847
32,0.430000,0.457715,0.265981,0.023765
32,0.440000,0.615039,0.413336,0.018725
32,0.450000,0.740742,0.565021,0.012776
32,0.460000,0.815137,0.667827,0.005813
32,0.480000,0.879082,0.774224,0.003793
32,0.500000,0.912129,0.832988,0.003176
32,0.550000,0.955410,0.913058,0.001580
32,0.600000,0.975625,0.951929,0.000924
32,0.700000,0.989590,0.979324,0.000602
32,0.800000,0.995801,0.991629,0.000311
64,0.100000,0.014097,0.000328,0.001137
64,0.200000,0.020142,0.000582,0.001329
64,0.300000,0.030947,0.001715,0.002751
64,0.350000,0.048027,0.003840,0.003916
64,0.400000,0.087451,0.011373,0.006104
64,0.420000,0.186577,0.053630,0.013718
64,0.430000,0.339951,0.154086,0.019626
64,0.440000,0.600986,0.391240,0.017336
64,0.450000,0.730723,0.543641,0.009841
64,0.460000,0.816309,0.668099,0.004170
64,0.480000,0.880439,0.775513,0.001842
64,0.500000,0.909170,0.826823,0.001527
64,0.550000,0.955259,0.912581,0.000786
64,0.600000,0.974297,0.949278,0.000491
64,0.700000,0.991045,0.982175,0.000233
64,0.800000,0.996313,0.992643,0.000144
128,0.100000,0.007700,0.000085,0.000504
128,0.200000,0.009949,0.000149,0.000704
128,0.300000,0.017598,0.000475,0.001284
128,0.350000,0.024988,0.000985,0.001898
128,0.400000,0.050846,0.004264,0.004097
128,0.420000,0.079960,0.009896,0.005918
128,0.430000,0.155887,0.037164,0.011342
128,0.440000,0.511553,0.291847,0.017367
128,0.450000,0.748622,0.561485,0.003241
128,0.460000,0.812166,0.659916,0.001741
128,0.480000,0.878115,0.771170,0.000913
128,0.500000,0.911199,0.830320,0.000608
128,0.550000,0.954001,0.910135,0.000406
128,0.600000,0.973489,0.947686,0.000244
128,0.700000,0.990004,0.980109,0.000125
128,0.800000,0.995953,0.991924,0.000078
