L,beta,<M>,<M2>,errore su <M>
16,0.100000,0.060234,0.005469,0.004291
16,0.200000,0.077656,0.010233,0.006483
16,0.300000,0.136172,0.029479,0.010458
16,0.400000,0.366016,0.176105,0.020528
16,0.420000,0.523281,0.331108,0.023934
16,0.430000,0.629141,0.445213,0.022225
16,0.440000,0.698516,0.522502,0.018595
16,0.450000,0.753672,0.599417,0.017719
16,0.460000,0.826406,0.703431,0.014312
16,0.480000,0.882031,0.781287,0.005751
16,0.500000,0.907031,0.826610,0.006249
16,0.600000,0.969453,0.940361,0.002283
16,0.700000,0.990078,0.980351,0.000981
16,0.800000,0.996719,0.993483,0.000587
32,0.100000,0.031172,0.001407,0.002087
32,0.200000,0.042676,0.003015,0.003455
32,0.300000,0.063457,0.006056,0.004505
32,0.400000,0.207422,0.064855,0.014775
32,0.420000,0.350254,0.167796,0.021241
32,0.430000,0.485703,0.286583,0.022511
32,0.440000,0.655020,0.457492,0.016864
32,0.450000,0.773145,0.606579,0.009395
32,0.460000,0.827617,0.687728,0.005270
32,0.480000,0.875684,0.768438,0.004020
32,0.500000,0.913047,0.834203,0.002343
32,0.600000,0.972949,0.946723,0.000966
32,0.700000,0.989961,0.980050,0.000520
32,0.800000,0.996523,0.993068,0.000296
64,0.100000,0.015190,0.000354,0.001109
64,0.200000,0.022378,0.000815,0.001774
64,0.300000,0.032471,0.001647,0.002435
64,0.400000,0.096294,0.015161,0.007674
64,0.420000,0.176470,0.047865,0.012932
64,0.430000,0.295439,0.120307,0.018172
64,0.440000,0.604136,0.392602,0.016620
64,0.450000,0.751563,0.570353,0.007421
64,0.460000,0.816138,0.667145,0.003262
64,0.480000,0.875693,0.767368,0.002301
64,0.500000,0.910835,0.829747,0.001124
64,0.600000,0.974463,0.949602,0.000487
64,0.700000,0.990522,0.981141,0.000252
64,0.800000,0.996060,0.992137,0.000156
128,0.100000,0.008163,0.000102,0.000594
128,0.200000,0.009214,0.000134,0.000704
128,0.300000,0.014894,0.000360,0.001175
128,0.400000,0.054205,0.004523,0.003981
128,0.420000,0.091654,0.012568,0.006456
128,0.430000,0.154503,0.037436,0.011647
128,0.440000,0.513573,0.291215,0.016570
128,0.450000,0.755127,0.571096,0.002966
128,0.460000,0.812162,0.660113,0.002249
128,0.480000,0.877386,0.769906,0.000995
128,0.500000,0.910183,0.828478,0.000665
128,0.600000,0.973722,0.948141,0.000254
128,0.700000,0.989928,0.979959,0.000144
128,0.800000,0.996028,0.992072,0.000069
