sweep,magnetizzazione_su_spin
500,0.001250
1000,0.000972
1500,-0.026389
2000,-0.003889
2500,0.015417
3000,-0.009306
3500,-0.021667
4000,-0.011806
4500,-0.000556
5000,-0.033194
5500,-0.024861
6000,0.006250
6500,-0.006944
7000,-0.002778
7500,0.016389
8000,0.002917
8500,-0.026111
9000,-0.020278
9500,-0.009167
10000,-0.005972
10500,0.022639
11000,-0.007778
11500,-0.021667
12000,0.018472
12500,-0.018750
13000,-0.046944
13500,0.057500
14000,-0.042917
14500,0.016667
15000,0.030694
15500,-0.010556
16000,-0.026667
16500,-0.009444
17000,-0.001806
17500,-0.012917
18000,0.027778
18500,-0.044722
19000,0.007639
19500,-0.003750
20000,-0.022361
20500,-0.016111
21000,0.012917
21500,-0.004583
22000,0.009028
22500,-0.025556
23000,-0.016528
23500,0.020417
24000,0.036944
24500,-0.043750
25000,-0.023056
25500,-0.038611
26000,0.005278
26500,0.008889
27000,-0.038472
27500,0.022083
28000,-0.008333
28500,-0.016667
29000,0.030694
29500,0.007361
30000,0.019306
30500,0.003611
31000,-0.004028
31500,0.001806
32000,0.016944
32500,0.018056
33000,-0.005833
33500,-0.003333
34000,-0.029722
34500,0.007639
35000,-0.028333
35500,-0.043611
36000,0.005278
36500,0.009861
37000,-0.024306
37500,0.037500
38000,0.042639
38500,-0.061528
39000,-0.006944
39500,0.000556
40000,-0.029583
40500,-0.000694
41000,-0.017083
41500,-0.008472
42000,0.000000
42500,0.012500
43000,0.011250
43500,-0.021111
44000,0.020833
44500,-0.038889
45000,-0.018472
45500,0.022083
46000,-0.030556
46500,-0.018056
47000,-0.021944
47500,0.002778
48000,-0.006944
48500,-0.012500
49000,0.005833
49500,-0.030972
50000,-0.006250
