sweep,magnetizzazione_su_spin
500,-0.080078
1000,-0.031250
1500,0.058594
2000,-0.197266
2500,-0.125000
3000,-0.091797
3500,-0.003906
4000,0.044922
4500,-0.128906
5000,-0.011719
5500,-0.003906
6000,-0.123047
6500,0.011719
7000,-0.183594
7500,-0.041016
8000,0.130859
8500,0.181641
9000,-0.123047
9500,-0.029297
10000,-0.068359
10500,0.109375
11000,-0.105469
11500,-0.062500
12000,0.164062
12500,0.078125
13000,0.158203
13500,-0.220703
14000,0.166016
14500,-0.093750
15000,-0.183594
15500,-0.050781
16000,0.072266
16500,-0.013672
17000,0.111328
17500,0.044922
18000,0.007812
18500,0.000000
19000,0.115234
19500,-0.074219
20000,0.060547
20500,0.083984
21000,0.101562
21500,0.003906
22000,0.119141
22500,-0.021484
23000,-0.052734
23500,0.019531
24000,0.007812
24500,-0.166016
25000,0.021484
25500,-0.027344
26000,-0.064453
26500,-0.005859
27000,-0.017578
27500,0.031250
28000,0.089844
28500,0.085938
29000,0.011719
29500,0.078125
30000,0.048828
30500,0.062500
31000,0.091797
31500,-0.056641
32000,0.095703
32500,-0.058594
33000,-0.021484
33500,-0.115234
34000,-0.025391
34500,0.033203
35000,-0.068359
35500,0.132812
36000,-0.056641
36500,-0.042969
37000,0.037109
37500,0.011719
38000,0.134766
38500,0.042969
39000,0.064453
39500,-0.082031
40000,-0.044922
40500,0.037109
41000,-0.062500
41500,-0.056641
42000,-0.027344
42500,-0.087891
43000,0.009766
43500,-0.039062
44000,0.052734
44500,0.035156
45000,-0.029297
45500,0.050781
46000,-0.054688
46500,-0.035156
47000,-0.185547
47500,0.048828
48000,0.078125
48500,0.058594
49000,-0.193359
49500,-0.103516
50000,0.066406
