L,comp_time,comm_time,save_time,total_time
16,3.923865,3.261042,38.732116,45.917023
32,15.369571,5.393776,29.994767,50.758113
64,59.318665,12.157863,11.041088,82.517616
128,236.696731,41.519287,19.084717,297.300736
16,3.915667,3.039855,41.871501,48.827024
32,15.075172,4.993486,54.272587,74.341246
64,58.971692,11.487682,11.304068,81.763442
128,234.506229,38.907614,18.663986,292.077830
16,3.897878,3.245142,45.068323,52.211343
32,14.917581,5.166808,43.853717,63.938106
64,58.645165,12.074287,12.140636,82.860088
128,231.013848,41.806319,18.694617,291.514783
16,3.847121,3.210498,48.915703,55.973322
32,15.021326,5.054567,46.107594,66.183488
64,59.277252,11.234358,11.958353,82.469964
128,235.192143,40.130178,18.608350,293.930671
16,3.880144,3.129905,39.402979,46.413028
32,15.031067,5.199792,31.641348,51.872206
64,57.901224,11.645936,11.042223,80.589383
128,229.665400,40.009075,18.605022,288.279498
